,content_id,title,type,release_year,date_added,age_rating,duration_min,seasons,primary_genre,country,language,imdb_rating,user_rating,is_original,views_30d,completion_rate_pct,likes,content_age,release_decade,is_kids_friendly,duration_bucket,engagement_score
0,1,Title 1,Movie,1983,2018-11-18,TV-MA,118.0,0.0,Romance,Germany,French,7.5,3.8,1,3249454,54.7,1213529,42,1980,0,1.5-2.5 hours,0.7062194404034611
1,2,Title 2,TV Show,1986,2017-04-17,TV-PG,88.0,8.0,Horror,Japan,German,5.2,4.5,1,237089,30.9,32388,39,1980,1,1-1.5 hours,0.15916344779948144
2,3,Title 3,Movie,2024,2016-11-03,PG-13,136.0,2.0,Horror,Germany,French,8.1,4.7,0,1851128,66.5,1900597,1,2020,0,1.5-2.5 hours,0.5436699635923998
3,4,Title 4,Movie,2014,2021-08-15,TV-Y7,103.0,0.0,Thriller,France,Korean,7.6,5.0,0,926079,36.8,448517,11,2010,1,1.5-2.5 hours,0.286112232008638
4,5,Title 5,Movie,1988,2018-10-13,PG-13,118.0,8.0,Horror,Spain,German,9.1,3.1,1,2647687,29.1,656309,37,1980,0,1.5-2.5 hours,0.513554142173891
5,6,Title 6,TV Show,1987,2020-05-29,TV-MA,0.0,5.0,Romance,United Kingdom,English,4.9,3.4,1,742443,73.2,1014341,38,1980,0,N/A,0.40416675625857973
6,7,Title 7,Movie,2024,2016-12-13,PG,118.0,5.0,Drama,India,French,8.1,4.5,1,3034302,21.7,833232,1,2020,1,1.5-2.5 hours,0.5419465516530171
7,8,Title 8,Movie,1996,2015-12-16,TV-14,118.0,0.0,Adventure,Germany,English,4.5,4.1,1,759827,47.6,1663087,29,1990,0,1.5-2.5 hours,0.3043743634294994
8,9,Title 9,Movie,1996,2015-05-30,R,118.0,4.0,Romance,South Korea,English,7.1,3.7,0,3077927,30.8,530981,29,1990,0,1.5-2.5 hours,0.584890319648379
9,10,Title 10,TV Show,2012,2020-05-08,TV-MA,63.0,4.0,Drama,Spain,Japanese,7.0,3.4,0,3118587,86.2,1815500,13,2010,0,1-1.5 hours,0.8125893364206751
10,11,Title 11,Movie,2011,2017-02-23,TV-Y,119.0,0.0,Mystery,Canada,French,6.1,3.6,1,2921020,81.8,344846,14,2010,1,1.5-2.5 hours,0.7653542049240635
11,12,Title 12,Movie,1987,2015-07-17,G,118.0,0.0,Thriller,Canada,Korean,8.6,3.9,1,2473752,24.5,1067461,38,1980,1,1.5-2.5 hours,0.4690638204255062
12,13,Title 13,Movie,1998,2021-03-13,TV-Y7,67.0,0.0,Sci-Fi,India,Hindi,4.0,3.4,1,1923582,61.3,1147938,27,1990,1,1-1.5 hours,0.5337380934797571
13,14,Title 14,Movie,2017,2015-07-23,R,118.0,0.0,Mystery,South Korea,Korean,6.9,4.9,1,1936129,42.2,23026,8,2010,0,1.5-2.5 hours,0.45922014865540883
14,15,Title 15,TV Show,1982,2019-03-09,TV-Y,76.0,5.0,Mystery,United States,English,5.2,3.2,1,2655043,34.4,1111765,43,1980,1,1-1.5 hours,0.5358575452082492
15,16,Title 16,Movie,1984,2017-04-30,TV-14,86.0,4.0,Romance,United Kingdom,English,8.1,5.0,1,339823,43.4,1606449,41,1980,0,1-1.5 hours,0.224573590177373
16,17,Title 17,TV Show,1992,2019-03-03,TV-Y,85.0,5.0,Thriller,Japan,Korean,4.2,4.7,0,1437514,81.2,1071582,33,1990,1,1-1.5 hours,0.5404276929761557
17,18,Title 18,TV Show,2010,2021-05-05,PG,0.0,2.0,Action,Australia,Hindi,8.6,3.8,1,51759,24.3,1567035,15,2010,1,N/A,0.10496387135064622
18,19,Title 19,TV Show,1995,2018-12-25,G,160.0,8.0,Crime,Australia,Hindi,8.6,4.5,1,544645,68.6,1349252,30,1990,1,> 2.5 hours,0.35609697466668033
19,20,Title 20,Movie,2011,2018-10-20,PG-13,118.0,0.0,Mystery,United Kingdom,Japanese,8.6,4.3,1,2727158,88.5,16642,14,2010,0,1.5-2.5 hours,0.7630748249557686
20,21,Title 21,TV Show,2001,2023-04-12,R,0.0,5.0,Horror,Spain,German,4.8,3.4,1,3355428,53.6,1727492,24,2000,0,N/A,0.7177155841178563
21,22,Title 22,Movie,2008,2019-08-28,G,118.0,0.0,Drama,France,Spanish,7.5,3.7,1,2138633,87.6,1887245,17,2000,1,1.5-2.5 hours,0.6711958321885385
22,23,Title 23,TV Show,2001,2021-01-25,TV-PG,0.0,8.0,Action,Spain,English,4.1,4.0,0,735035,88.0,1620860,24,2000,1,N/A,0.46225555320277134
23,24,Title 24,TV Show,2022,2017-09-20,TV-MA,79.0,8.0,Thriller,Canada,Hindi,8.7,4.3,0,3257996,65.7,237650,3,2020,0,1-1.5 hours,0.7515007439270458
24,25,Title 25,TV Show,1982,2016-07-01,TV-PG,0.0,5.0,Sci-Fi,Japan,French,8.0,4.1,1,1619510,54.2,1054593,43,1980,1,N/A,0.45972716804971214
25,26,Title 26,TV Show,1989,2023-09-15,TV-MA,143.0,7.0,Adventure,Canada,Japanese,6.9,3.9,1,1202109,75.3,1985219,36,1980,0,> 2.5 hours,0.48151684587132615
26,27,Title 27,TV Show,2021,2022-01-22,PG,92.0,5.0,Action,Germany,English,8.0,3.9,0,2551594,88.7,1177844,4,2020,1,1-1.5 hours,0.7375401525354195
27,28,Title 28,TV Show,2000,2018-12-10,G,0.0,6.0,Sci-Fi,Canada,Spanish,4.5,4.0,1,1015486,71.0,1783845,25,2000,1,N/A,0.4363233188891269
28,29,Title 29,TV Show,1995,2019-06-12,TV-14,122.0,5.0,Romance,Australia,French,6.9,3.9,1,3344307,35.7,744956,30,1990,0,1.5-2.5 hours,0.6444474295304312
29,30,Title 30,TV Show,1991,2015-04-03,TV-Y,0.0,3.0,Comedy,Australia,English,5.6,4.1,1,1694231,81.5,1235756,34,1990,1,N/A,0.5801353488722094
30,31,Title 31,Movie,1981,2015-12-12,G,118.0,0.0,Crime,Japan,Japanese,9.3,4.8,1,1285676,91.4,862365,44,1980,1,1.5-2.5 hours,0.5584519303428085
31,32,Title 32,Movie,2020,2021-01-14,TV-PG,116.0,5.0,Romance,Canada,Japanese,8.7,4.3,0,3039458,50.8,649197,5,2020,1,1.5-2.5 hours,0.6591199537798729
32,33,Title 33,TV Show,2003,2018-12-01,TV-Y7,0.0,6.0,Thriller,United Kingdom,Hindi,8.0,4.4,1,2284180,72.3,782413,22,2000,1,N/A,0.6318279422268411
33,34,Title 34,TV Show,2014,2023-10-16,TV-MA,0.0,5.0,Comedy,United Kingdom,German,9.1,4.2,1,1097701,58.9,1892382,11,2010,0,N/A,0.40025560280290773
34,35,Title 35,TV Show,2009,2019-01-01,TV-Y7,158.0,4.0,Sci-Fi,India,Korean,5.9,4.3,0,2328050,28.4,1486337,16,2000,1,> 2.5 hours,0.46280846032326584
35,36,Title 36,Movie,2009,2016-09-02,R,118.0,0.0,Comedy,France,Japanese,9.0,4.2,1,3709145,46.2,1613981,16,2000,0,1.5-2.5 hours,0.74117328002652
36,37,Title 37,TV Show,2014,2018-01-09,TV-Y7,0.0,5.0,Adventure,Japan,French,5.8,3.1,0,2108894,32.3,1373826,11,2010,1,N/A,0.44553496992116726
37,38,Title 38,Movie,1998,2020-02-09,G,98.0,0.0,Horror,Canada,Korean,8.0,5.0,0,724049,70.5,1512658,27,1990,1,1-1.5 hours,0.3906076486710338
38,39,Title 39,Movie,1987,2018-11-21,TV-Y,118.0,5.0,Horror,Japan,Hindi,8.1,3.1,0,1558596,63.7,747173,38,1980,1,1.5-2.5 hours,0.48859004292261804
39,40,Title 40,Movie,2005,2020-02-14,R,118.0,6.0,Romance,Spain,Hindi,4.1,3.8,1,1644345,22.5,1342832,20,2000,0,1.5-2.5 hours,0.3366524282941778
40,41,Title 41,Movie,2019,2018-07-19,TV-14,91.0,1.0,Romance,United States,French,6.0,3.2,1,1445861,24.6,481382,6,2010,0,1-1.5 hours,0.3152797464193027
41,42,Title 42,Movie,1986,2017-12-24,TV-14,118.0,0.0,Thriller,South Korea,Spanish,4.1,3.2,1,1578431,39.6,1613964,39,1980,0,1.5-2.5 hours,0.39516530110457804
42,43,Title 43,TV Show,2009,2023-03-06,PG,0.0,7.0,Thriller,Spain,Japanese,9.5,4.6,1,2544562,75.9,1188999,16,2000,1,N/A,0.6852853496347115
43,44,Title 44,TV Show,1986,2017-08-15,TV-Y,0.0,4.0,Drama,Spain,French,4.7,3.9,0,3422134,29.5,1075734,39,1980,1,N/A,0.631321511634157
